steamerid,firstname,lastname,DBteamId,IP,start_IP,relief_IP,start_percent,FBV,TBF,G,GS,W,L,SV,BB,K,HBP,ER,R,ERA,RA,H,HR,GB,FB,LD,K9,BB9,HR9,WHIP
sa549748,Richard James,Hively,ARI,1,0,1,0,NULL,4,1,0,0.0532,0.0468,0,0.3809,0.7365,0.0394,0.4684,0.5081,4.2156,4.5729,1.0034,0.12,1.4127,1.1061,0.6414,6.6285,3.4281,1.08,1.3843
6627,Brad,Brach,BAL,15,0,15,0,91.7,65,15,0,0.7972,0.7028,0,5.8388,12.8218,0.5048,7.0279,7.5465,4.21674,4.5279,14.5898,2.25,17.0181,19.1113,9.3131,7.69308,3.50328,1.35,1.36190666666667
9013,Cesar,Valdez,PIT,1,0.45,0.55,0.45,87.3,4,0.182529824561404,0.1739,0.0453,0.0497,0,0.2329,0.6216,0.0369,0.4686,0.5085,4.2174,4.5765,1.0743,0.12,1.4957,1.1704,0.6869,5.5944,2.0961,1.08,1.3072
9111,Brad,Hand,MIA,68.7712,28.7712,40,0.418361174445117,93.1,305,45.0475789474,5.0476,3.6613,3.909,0,35.772,62.9819,1.5674,32.2277,34.7552,4.2175983551254,4.54836908473314,64.5635,7.64,78.2595,81.076,41.7616,8.2423616281234,4.68143641524359,0.999837141128845,1.45897555953655
755,Johan,Santana,BAL,19.1808,19.1808,0,1,87.7,82,3.3650526316,3.3651,1.2252,1.2124,0,6.2453,14.8717,0.5214,8.9891,9.653,4.21785848348348,4.52937312312312,19.1398,3.19,21.6507,26.2945,12.3433,6.97808746246246,2.93041478978979,1.49680930930931,1.32346408908909
6371,Henry,Rodriguez,CHN,15,0,15,0,96.8,66,15,0,0.7969,0.7031,0,7.8822,14.5782,0.5721,7.0311,7.6089,4.21866,4.56534,13.398,1.5,18.7281,14.8475,8.6123,8.74692,4.72932,0.9,1.41868
sa578017,Ryan,Duke,PHI,1,0,1,0,NULL,4,1,0,0.0531,0.0469,0,0.3702,0.776,0.0373,0.4688,0.5079,4.2192,4.5711,1.0024,0.12,1.4011,1.0953,0.6251,6.984,3.3318,1.08,1.3726
11366,Brandon,Cumpton,PIT,39.1808,19.1808,20,0.489545900032669,92,171,23.3650526316,3.3651,2.1858,2.2016,0,12.6676,27.0424,2.5072,18.3695,19.9941,4.21955396520745,4.59273164407057,40.5949,3.95,60.1885,40.548,25.9552,6.21175677883045,2.90980276053577,0.907332162691931,1.3594030749755
sa525886,Logan,Billbrough,SLN,1,0.315,0.685,0.315,NULL,4,1,0,0.0531,0.0469,0,0.3388,0.7076,0.037,0.4688,0.5086,4.2192,4.5774,1.0276,0.11,1.4307,1.1188,0.6645,6.3684,3.0492,0.99,1.3664
sa658009,Ty,Blach,SFN,1,0.98,0.02,0.98,NULL,4,0.1916,0.172,0.059,0.0674,0,0.2829,0.6559,0.0313,0.4689,0.5093,4.2201,4.5837,1.0488,0.11,1.4679,1.1486,0.6755,5.9031,2.5461,0.99,1.3317
sa597867,Corey,Williams,MIN,1,0,1,0,94.9,4,1,0,0.0531,0.0469,0,0.5042,0.8998,0.055,0.469,0.5069,4.221,4.5621,0.9568,0.1,1.225,1.098,0.6285,8.0982,4.5378,0.9,1.461
8532,Rob,Wooten,MIL,55,0,55,0,88.4,239,55,0,2.9202,2.5798,2,17.6573,40.9935,2.2802,25.7979,27.9283,4.22147454545454,4.57008545454545,56.7239,7.06,77.6027,61.6617,35.9025,6.70802727272727,2.88937636363636,1.15527272727273,1.35238545454545
1841,Edwin,Jackson,CHN,163.0368,163.0368,0,1,92.8,698,27.6333559322,27.6334,9.2117,11.1301,0,51.2063,126.9692,3.9012,76.4833,83.1581,4.22205109521286,4.59051514750044,164.0384,17.43,244.9674,159.5846,103.769,7.00898692810458,2.82670354177707,0.962175410704822,1.32022156960882
sa328425,Drew,Hayes,CIN,1,0,1,0,93.7,4,0.725173684210526,0.0585,0.0457,0.0426,0,0.4919,0.8996,0.045,0.4692,0.5083,4.2228,4.5747,0.9303,0.12,1.3084,1.0222,0.5906,8.0964,4.4271,1.08,1.4222
3915,Jason,Bulger,LAA,1,0,1,0,90.7,4,0.852733333333333,0.0313,0.0491,0.0445,0,0.4,0.7822,0.0326,0.4693,0.5073,4.2237,4.5657,0.9929,0.12,1.3091,1.1723,0.6314,7.0398,3.6,1.08,1.3929
sa526542,Grayson,Garvin,TBA,1,1,0,1,90.6,4,0.175438596491228,0.1754,0.0624,0.0647,0,0.3954,0.757,0.0337,0.4694,0.5083,4.2246,4.5747,0.9765,0.12,1.3141,1.1767,0.6295,6.813,3.5586,1.08,1.3719
4538,Jason,Hammel,CHN,153.4464,153.4464,0,1,92.4,663,26.9204210526,26.9204,8.8432,10.658,0,52.8073,118.0867,6.2599,72.0399,78.2516,4.22531320382883,4.58964433183183,153.3702,17.65,221.9107,159.1239,97.8597,6.92606864677177,3.09727500938438,1.0352149024024,1.34364507736904
sa390636,Michael,Olmsted,MIL,1,0,1,0,92.1,4,1,0,0.053,0.047,0,0.4951,0.9223,0.0476,0.4698,0.5087,4.2282,4.5783,0.9333,0.11,1.2941,1.0127,0.5947,8.3007,4.4559,0.99,1.4284
2540,Eric,Surkamp,SFN,1,1,0,1,86.8,4,0.175438596491228,0.1754,0.0591,0.068,0,0.3606,0.7578,0.0417,0.4701,0.5084,4.2309,4.5756,1.0044,0.12,1.307,1.1968,0.6464,6.8202,3.2454,1.08,1.365
8577,Clay,Zavada,CIN,1,0,1,0,86.8,4,1,0,0.053,0.047,0,0.3915,0.7427,0.0478,0.4701,0.5099,4.2309,4.5891,1.006,0.13,1.4139,1.1046,0.6382,6.6843,3.5235,1.17,1.3975
sa508100,Juan,Oramas,SDN,1,1,0,1,NULL,4,0.184508771929825,0.1735,0.0587,0.0687,0,0.3708,0.7903,0.042,0.4702,0.5099,4.2318,4.5891,0.9883,0.11,1.3921,1.0858,0.6161,7.1127,3.3372,0.99,1.3591
sa578779,Sander,Beck,BAL,1,0,1,0,91.3,4,1,0,0.053,0.047,0,0.4066,0.8246,0.0427,0.4704,0.5079,4.2336,4.5711,0.9791,0.13,1.2836,1.1491,0.6255,7.4214,3.6594,1.17,1.3857
sa389925,Neil,Ramirez,CHN,1,1,0,1,91.8,4,0.175438596491228,0.1754,0.0575,0.0696,0,0.47,0.9312,0.0532,0.4704,0.5097,4.2336,4.5873,0.9174,0.11,1.2873,1.0051,0.588,8.3808,4.23,0.99,1.3874
10547,Jimmy,Nelson,MIL,44.1808,19.1808,25,0.434143338282693,93.8,194,28.3650526316,3.3651,2.4387,2.4431,0,20.8685,41.5237,2.3545,20.7851,22.5066,4.23409942780574,4.58478343533843,40.9531,4.93,57.3502,43.7438,26.0621,8.45872641509434,4.25108870821714,1.00428240321588,1.39928656792091
